,Unnamed: 0,field,section,coverage,classifier,divergent,precision,recall,f1-score,train (Si/No),test (Si/No),pred Si/No,index-feat.comb.,num-features,cand,co-au,cand_comm,comm_cand,BC,CC,cand_other,other_cand,books,articles,other_pubbs,I1,I2,I3,support
110895,110895,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),1850,6,,X,,,X,X,,X,X,X,,,,,34.0
110896,110896,10-G1,2,A,svm_0.5,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(18/16),1850,6,,X,,,X,X,,X,X,X,,,,,34.0
110897,110897,10-G1,2,A,svm_0.1,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,25 (16/9),34 (16/18),(19/15),1850,6,,X,,,X,X,,X,X,X,,,,,34.0
111435,111435,10-G1,2,A,svm_1,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),1859,6,,X,,,X,X,,X,,,X,X,,,34.0
111799,111799,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),1865,6,,X,,,X,X,,,X,X,X,,,,34.0
111855,111855,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1866,6,,X,,,X,X,,,X,X,,X,,,34.0
111856,111856,10-G1,2,A,svm_0.5,False,0.7058823529411765,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(16/18),1866,6,,X,,,X,X,,,X,X,,X,,,34.0
111975,111975,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1868,6,,X,,,X,X,,,X,X,,,,X,34.0
111976,111976,10-G1,2,A,svm_0.5,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),1868,6,,X,,,X,X,,,X,X,,,,X,34.0
111979,111979,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1868,6,,X,,,X,X,,,X,X,,,,X,34.0
112035,112035,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1869,6,,X,,,X,X,,,X,,X,X,,,34.0
112036,112036,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1869,6,,X,,,X,X,,,X,,X,X,,,34.0
112039,112039,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),1869,6,,X,,,X,X,,,X,,X,X,,,34.0
112155,112155,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1871,6,,X,,,X,X,,,X,,X,,,X,34.0
112156,112156,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1871,6,,X,,,X,X,,,X,,X,,,X,34.0
112159,112159,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1871,6,,X,,,X,X,,,X,,X,,,X,34.0
112275,112275,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1873,6,,X,,,X,X,,,X,,,X,,X,34.0
112276,112276,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1873,6,,X,,,X,X,,,X,,,X,,X,34.0
112279,112279,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1873,6,,X,,,X,X,,,X,,,X,,X,34.0
112399,112399,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1875,6,,X,,,X,X,,,,X,X,X,,,34.0
112515,112515,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1877,6,,X,,,X,X,,,,X,X,,,X,34.0
112516,112516,10-G1,2,A,svm_0.5,False,0.7058823529411765,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(16/18),1877,6,,X,,,X,X,,,,X,X,,,X,34.0
112519,112519,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1877,6,,X,,,X,X,,,,X,X,,,X,34.0
112635,112635,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1879,6,,X,,,X,X,,,,X,,X,,X,34.0
112636,112636,10-G1,2,A,svm_0.5,False,0.7058823529411765,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(16/18),1879,6,,X,,,X,X,,,,X,,X,,X,34.0
112639,112639,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1879,6,,X,,,X,X,,,,X,,X,,X,34.0
112765,112765,10-G1,2,ABC,svm_1,False,0.7318342194689691,0.7228915662650602,0.7134966124321604,39 (16/23),83 (37/46),(26/57),1881,6,,X,,,X,X,,,,,X,X,X,,83.0
112815,112815,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1882,6,,X,,,X,X,,,,,X,X,,X,34.0
112816,112816,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1882,6,,X,,,X,X,,,,,X,X,,X,34.0
112819,112819,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),1882,6,,X,,,X,X,,,,,X,X,,X,34.0
112996,112996,10-G1,2,A,svm_0.5,False,0.7058823529411765,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(16/18),1885,6,,X,,,X,,X,X,X,X,,,,,34.0
116760,116760,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),1948,6,,X,,,X,,,,X,,X,,X,X,14.0
116761,116761,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),1948,6,,X,,,X,,,,X,,X,,X,X,14.0
116762,116762,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),1948,6,,X,,,X,,,,X,,X,,X,X,14.0
118217,118217,10-G1,2,A,svm_0.1,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),1972,6,,X,,,,X,X,,X,X,,,X,,34.0
118284,118284,10-G1,2,AB,decisionTree,False,0.7321428571428571,0.7307692307692307,0.7303703703703702,20 (10/10),52 (26/26),(24/28),1973,6,,X,,,,X,X,,X,X,,,,X,52.0
118636,118636,10-G1,2,A,svm_0.5,False,0.7218487394957984,0.7058823529411765,0.7038398692810458,14 (8/6),34 (16/18),(20/14),1979,6,,X,,,,X,X,,X,,,,X,X,34.0
118997,118997,10-G1,2,A,svm_0.1,False,0.7218487394957984,0.7058823529411765,0.7038398692810458,14 (8/6),34 (16/18),(20/14),1985,6,,X,,,,X,X,,,X,,,X,X,34.0
119177,119177,10-G1,2,A,svm_0.1,False,0.7218487394957984,0.7058823529411765,0.7038398692810458,14 (8/6),34 (16/18),(20/14),1988,6,,X,,,,X,X,,,,X,,X,X,34.0
120495,120495,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2010,6,,X,,,,X,,,X,X,X,X,,,34.0
120496,120496,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2010,6,,X,,,,X,,,X,X,X,X,,,34.0
120499,120499,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),2010,6,,X,,,,X,,,X,X,X,X,,,34.0
120556,120556,10-G1,2,A,svm_0.5,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),2011,6,,X,,,,X,,,X,X,X,,X,,34.0
120615,120615,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2012,6,,X,,,,X,,,X,X,X,,,X,34.0
120616,120616,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2012,6,,X,,,,X,,,X,X,X,,,X,34.0
120619,120619,10-G1,2,A,decisionTree,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),2012,6,,X,,,,X,,,X,X,X,,,X,34.0
120677,120677,10-G1,2,A,svm_0.1,False,0.7218487394957984,0.7058823529411765,0.7038398692810458,14 (8/6),34 (16/18),(20/14),2013,6,,X,,,,X,,,X,X,,X,X,,34.0
120735,120735,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2014,6,,X,,,,X,,,X,X,,X,,X,34.0
120736,120736,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2014,6,,X,,,,X,,,X,X,,X,,X,34.0
120739,120739,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2014,6,,X,,,,X,,,X,X,,X,,X,34.0
120857,120857,10-G1,2,A,svm_0.1,False,0.7218487394957984,0.7058823529411765,0.7038398692810458,14 (8/6),34 (16/18),(20/14),2016,6,,X,,,,X,,,X,,X,X,X,,34.0
120915,120915,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2017,6,,X,,,,X,,,X,,X,X,,X,34.0
120916,120916,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2017,6,,X,,,,X,,,X,,X,X,,X,34.0
120919,120919,10-G1,2,A,decisionTree,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),2017,6,,X,,,,X,,,X,,X,X,,X,34.0
120944,120944,13-D4,1,ABC,decisionTree,False,0.8287545787545787,0.7179487179487181,0.7054131054131053,76 (35/41),39 (22/17),(11/28),2017,6,,X,,,,X,,,X,,X,X,,X,39.0
120976,120976,10-G1,2,A,svm_0.5,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),2018,6,,X,,,,X,,,X,,X,,X,X,34.0
120977,120977,10-G1,2,A,svm_0.1,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),2018,6,,X,,,,X,,,X,,X,,X,X,34.0
121159,121159,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2021,6,,X,,,,X,,,,X,X,X,,X,34.0
124442,124442,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2076,6,,X,,,,,,,X,X,X,X,,X,14.0
124443,124443,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2076,6,,X,,,,,,,X,X,X,X,,X,14.0
124755,124755,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2081,6,,,X,X,X,X,X,X,,,,,,,34.0
124756,124756,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2081,6,,,X,X,X,X,X,X,,,,,,,34.0
124815,124815,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2082,6,,,X,X,X,X,X,,X,,,,,,34.0
124875,124875,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2083,6,,,X,X,X,X,X,,,X,,,,,34.0
124876,124876,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2083,6,,,X,X,X,X,X,,,X,,,,,34.0
124939,124939,10-G1,2,A,decisionTree,False,0.7218487394957984,0.7058823529411765,0.7038398692810458,25 (16/9),34 (16/18),(20/14),2084,6,,,X,X,X,X,X,,,,X,,,,34.0
125170,125170,10-G1,1,ABC,svm_1,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,35 (22/13),35 (13/22),(13/22),2088,6,,,X,X,X,X,,X,X,,,,,,35.0
125171,125171,10-G1,1,ABC,svm_0.5,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,35 (22/13),35 (13/22),(13/22),2088,6,,,X,X,X,X,,X,X,,,,,,35.0
125172,125172,10-G1,1,ABC,svm_0.1,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,35 (22/13),35 (13/22),(13/22),2088,6,,,X,X,X,X,,X,X,,,,,,35.0
125175,125175,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2088,6,,,X,X,X,X,,X,X,,,,,,34.0
125176,125176,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2088,6,,,X,X,X,X,,X,X,,,,,,34.0
125235,125235,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2089,6,,,X,X,X,X,,X,,X,,,,,34.0
125236,125236,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2089,6,,,X,X,X,X,,X,,X,,,,,34.0
125466,125466,10-G1,1,AB,svm_0.5,False,0.7274725274725276,0.7142857142857143,0.7172619047619049,17 (13/4),28 (11/17),(13/15),2093,6,,,X,X,X,X,,X,,,,,,X,28.0
125535,125535,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2094,6,,,X,X,X,X,,,X,X,,,,,34.0
125536,125536,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2094,6,,,X,X,X,X,,,X,X,,,,,34.0
125582,125582,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),2095,6,,,X,X,X,X,,,X,,X,,,,14.0
125595,125595,10-G1,2,A,svm_1,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(18/16),2095,6,,,X,X,X,X,,,X,,X,,,,34.0
125599,125599,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2095,6,,,X,X,X,X,,,X,,X,,,,34.0
125655,125655,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2096,6,,,X,X,X,X,,,X,,,X,,,34.0
125656,125656,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2096,6,,,X,X,X,X,,,X,,,X,,,34.0
125766,125766,10-G1,1,AB,svm_0.5,False,0.7274725274725276,0.7142857142857143,0.7172619047619049,17 (13/4),28 (11/17),(13/15),2098,6,,,X,X,X,X,,,X,,,,,X,28.0
125775,125775,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2098,6,,,X,X,X,X,,,X,,,,,X,34.0
125776,125776,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2098,6,,,X,X,X,X,,,X,,,,,X,34.0
125779,125779,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2098,6,,,X,X,X,X,,,X,,,,,X,34.0
125835,125835,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2099,6,,,X,X,X,X,,,,X,X,,,,34.0
125836,125836,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2099,6,,,X,X,X,X,,,,X,X,,,,34.0
125839,125839,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,25 (16/9),34 (16/18),(18/16),2099,6,,,X,X,X,X,,,,X,X,,,,34.0
125895,125895,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2100,6,,,X,X,X,X,,,,X,,X,,,34.0
125896,125896,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2100,6,,,X,X,X,X,,,,X,,X,,,34.0
126015,126015,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2102,6,,,X,X,X,X,,,,X,,,,X,34.0
126016,126016,10-G1,2,A,svm_0.5,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),2102,6,,,X,X,X,X,,,,X,,,,X,34.0
126019,126019,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2102,6,,,X,X,X,X,,,,X,,,,X,34.0
126075,126075,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2103,6,,,X,X,X,X,,,,,X,X,,,34.0
126076,126076,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2103,6,,,X,X,X,X,,,,,X,X,,,34.0
126079,126079,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2103,6,,,X,X,X,X,,,,,X,X,,,34.0
126195,126195,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2105,6,,,X,X,X,X,,,,,X,,,X,34.0
126196,126196,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2105,6,,,X,X,X,X,,,,,X,,,X,34.0
126199,126199,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2105,6,,,X,X,X,X,,,,,X,,,X,34.0
126315,126315,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2107,6,,,X,X,X,X,,,,,,X,,X,34.0
126316,126316,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2107,6,,,X,X,X,X,,,,,,X,,X,34.0
126319,126319,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2107,6,,,X,X,X,X,,,,,,X,,X,34.0
126430,126430,10-G1,1,ABC,svm_1,False,0.706959706959707,0.7142857142857143,0.7002164502164502,35 (22/13),35 (13/22),(9/26),2109,6,,,X,X,X,,X,X,X,,,,,,35.0
126431,126431,10-G1,1,ABC,svm_0.5,False,0.706959706959707,0.7142857142857143,0.7002164502164502,35 (22/13),35 (13/22),(9/26),2109,6,,,X,X,X,,X,X,X,,,,,,35.0
126432,126432,10-G1,1,ABC,svm_0.1,False,0.706959706959707,0.7142857142857143,0.7002164502164502,35 (22/13),35 (13/22),(9/26),2109,6,,,X,X,X,,X,X,X,,,,,,35.0
128583,128583,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),2145,6,,,X,X,X,,,,X,X,X,,,,14.0
128880,128880,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2150,6,,,X,X,X,,,,X,,X,,X,,14.0
128881,128881,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2150,6,,,X,X,X,,,,X,,X,,X,,14.0
128882,128882,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2150,6,,,X,X,X,,,,X,,X,,X,,14.0
128942,128942,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2151,6,,,X,X,X,,,,X,,X,,,X,14.0
129612,129612,10-G1,1,ABC,svm_0.1,False,0.7077922077922079,0.7142857142857143,0.7085921325051759,23 (16/7),35 (13/22),(11/24),2162,6,,,X,X,X,,,,,,X,X,,X,35.0
129660,129660,10-G1,1,A,svm_1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2163,6,,,X,X,X,,,,,,X,,X,X,14.0
129661,129661,10-G1,1,A,svm_0.5,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2163,6,,,X,X,X,,,,,,X,,X,X,14.0
129662,129662,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,9 (7/2),14 (5/9),(9/5),2163,6,,,X,X,X,,,,,,X,,X,X,14.0
129855,129855,10-G1,2,A,svm_1,False,0.7616892911010558,0.7352941176470589,0.7318324016616237,25 (16/9),34 (16/18),(21/13),2166,6,,,X,X,,X,X,X,,X,,,,,34.0
129856,129856,10-G1,2,A,svm_0.5,False,0.7218487394957984,0.7058823529411765,0.7038398692810458,25 (16/9),34 (16/18),(20/14),2166,6,,,X,X,,X,X,X,,X,,,,,34.0
130774,130774,13-D4,1,A,decisionTree,False,0.7419443301796244,0.7179487179487181,0.7179487179487181,73 (35/38),39 (22/17),(17/22),2181,6,,,X,X,,X,X,,,,X,,X,,39.0
131002,131002,10-G1,2,AB,svm_0.1,False,0.7280701754385964,0.7115384615384616,0.7062146892655368,20 (10/10),52 (26/26),(33/19),2185,6,,,X,X,,X,X,,,,,,X,X,52.0
131055,131055,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2186,6,,,X,X,,X,,X,X,X,,,,,34.0
131056,131056,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2186,6,,,X,X,,X,,X,X,X,,,,,34.0
131942,131942,10-G1,1,A,svm_0.1,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),2201,6,,,X,X,,X,,,X,X,X,,,,14.0
131943,131943,10-G1,1,A,svm_0.02,False,0.8412698412698413,0.7142857142857143,0.7142857142857143,12 (9/3),14 (5/9),(9/5),2201,6,,,X,X,,X,,,X,X,X,,,,14.0
131955,131955,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,25 (16/9),34 (16/18),(17/17),2201,6,,,X,X,,X,,,X,X,X,,,,34.0
131958,131958,10-G1,2,A,svm_0.02,False,0.7067226890756303,0.7058823529411765,0.7038183694530443,25 (16/9),34 (16/18),(14/20),2201,6,,,X,X,,X,,,X,X,X,,,,34.0
131959,131959,10-G1,2,A,decisionTree,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,25 (16/9),34 (16/18),(19/15),2201,6,,,X,X,,X,,,X,X,X,,,,34.0
132015,132015,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2202,6,,,X,X,,X,,,X,X,,X,,,34.0
132016,132016,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2202,6,,,X,X,,X,,,X,X,,X,,,34.0
132019,132019,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),2202,6,,,X,X,,X,,,X,X,,X,,,34.0
132075,132075,10-G1,2,A,svm_1,False,0.7881887933038828,0.7352941176470589,0.7271025120923701,14 (8/6),34 (16/18),(23/11),2203,6,,,X,X,,X,,,X,X,,,X,,34.0
132135,132135,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2204,6,,,X,X,,X,,,X,X,,,,X,34.0
132136,132136,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2204,6,,,X,X,,X,,,X,X,,,,X,34.0
132139,132139,10-G1,2,A,decisionTree,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2204,6,,,X,X,,X,,,X,X,,,,X,34.0
132195,132195,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2205,6,,,X,X,,X,,,X,,X,X,,,34.0
132196,132196,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2205,6,,,X,X,,X,,,X,,X,X,,,34.0
132199,132199,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),2205,6,,,X,X,,X,,,X,,X,X,,,34.0
132255,132255,10-G1,2,A,svm_1,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),2206,6,,,X,X,,X,,,X,,X,,X,,34.0
132256,132256,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2206,6,,,X,X,,X,,,X,,X,,X,,34.0
132257,132257,10-G1,2,A,svm_0.1,False,0.7455108359133127,0.7352941176470589,0.7346065699006876,14 (8/6),34 (16/18),(19/15),2206,6,,,X,X,,X,,,X,,X,,X,,34.0
132315,132315,10-G1,2,A,svm_1,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2207,6,,,X,X,,X,,,X,,X,,,X,34.0
132316,132316,10-G1,2,A,svm_0.5,False,0.7370242214532872,0.7352941176470589,0.7355233002291826,14 (8/6),34 (16/18),(17/17),2207,6,,,X,X,,X,,,X,,X,,,X,34.0
132319,132319,10-G1,2,A,decisionTree,False,0.7107843137254901,0.7058823529411765,0.7058823529411765,14 (8/6),34 (16/18),(18/16),2207,6,,,X,X,,X,,,X,,X,,,X,34.0
