cov_sect,term,role,field,id,name,MAG,OA,CR,combined,MAG%,OA%,CR%,combined%,total_CV
C,5,AP,10-G1,85217,85217_GRECO_Paolo,5,5,4,7,0.25,0.25,0.2,0.35,20
C,5,AP,10-G1,85913,85913_NICOLOSI_Simona,0,0,0,0,0.0,0.0,0.0,0.0,10
C,5,AP,10-G1,86183,86183_PIUNNO_Valentina,4,3,2,6,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.46153846153846156,13
C,5,AP,10-G1,86211,86211_VAI_Massimo,0,3,1,3,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,11
A,5,AP,10-G1,86640,86640_MORO_Francesca_Romana,5,7,5,7,0.5555555555555556,0.7777777777777778,0.5555555555555556,0.7777777777777778,9
A,5,AP,10-G1,87676,87676_IVASKA_Ilmari_Tuomas,9,9,7,10,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.7692307692307693,13
A,5,AP,10-G1,88485,88485_MANCINI_Simona,11,14,13,14,0.7333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,15
A,5,AP,10-G1,89286,89286_AROSIO_Fabrizio,13,13,12,13,1.0,1.0,0.9230769230769231,1.0,13
B,5,AP,10-G1,89613,89613_DEDE_Francesco,8,1,0,8,0.6666666666666666,0.08333333333333333,0.0,0.6666666666666666,12
C,5,AP,10-G1,90321,90321_SIEBETCHEU_YOUMBI_Raymond,1,1,0,2,0.02702702702702703,0.02702702702702703,0.0,0.05405405405405406,37
B,5,AP,10-G1,90574,90574_DALOISO_Michele,7,3,0,9,0.2916666666666667,0.125,0.0,0.375,24
B,5,AP,10-G1,90596,90596_LOGOZZO_Felicia,6,10,4,6,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.42857142857142855,14
B,5,AP,10-G1,90689,90689_HAROUTYUNIAN_Sona,12,14,0,12,0.6666666666666666,0.7777777777777778,0.0,0.6666666666666666,18
C,5,AP,10-G1,91236,91236_CARLONI_Giovanna,6,6,3,8,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.36363636363636365,22
A,5,AP,10-G1,91314,91314_VELLUTINO_Daniela,11,1,0,11,0.8461538461538461,0.07692307692307693,0.0,0.8461538461538461,13
B,5,AP,10-G1,91323,91323_CACCHIONE_Annamaria,11,10,3,12,0.44,0.4,0.12,0.48,25
C,5,AP,10-G1,91644,91644_PESINI_Luca,4,4,0,5,0.2857142857142857,0.2857142857142857,0.0,0.35714285714285715,14
A,5,AP,10-G1,91799,91799_COGNOLA_Federica,15,10,7,15,0.7894736842105263,0.5263157894736842,0.3684210526315789,0.7894736842105263,19
C,5,AP,10-G1,92287,92287_JUSUFI_Ljumnije,0,4,1,1,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,12
A,5,AP,10-G1,92519,92519_SPOTTI_Massimiliano,12,12,11,14,0.8571428571428571,0.8571428571428571,0.7857142857142857,1.0,14
C,5,AP,10-G1,92906,92906_NERI_Sergio,0,0,0,0,0.0,0.0,0.0,0.0,14
C,5,AP,10-G1,93259,93259_PECORARI_Filippo,5,2,2,6,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.46153846153846156,13
B,5,AP,10-G1,93645,93645_FABRIZIO_Claudia,7,0,0,7,0.4666666666666667,0.0,0.0,0.4666666666666667,15
A,5,AP,10-G1,93940,93940_BASSETTI_Benedetta,11,10,9,11,1.0,0.9090909090909091,0.8181818181818182,1.0,11
C,5,AP,10-G1,94522,94522_MONAMI_Elena,1,0,0,1,0.058823529411764705,0.0,0.0,0.058823529411764705,17
B,5,AP,10-G1,94693,94693_PUGLIESE_Rosa,7,8,1,7,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.5833333333333334,12
A,5,AP,10-G1,94811,94811_CAFFARRA_Sendy,12,13,11,12,0.9230769230769231,1.0,0.8461538461538461,0.9230769230769231,13
