dataset,cov_sect,role,field,coverage%,coverage
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.0,0
MAG,B,AP,10-G1,0.631578947368421,12
OA,B,AP,10-G1,0.15789473684210525,3
CR,B,AP,10-G1,0.05263157894736842,1
comb,B,AP,10-G1,0.631578947368421,12
MAG,A,AP,10-G1,0.8571428571428571,12
OA,A,AP,10-G1,0.5714285714285714,8
CR,A,AP,10-G1,0.5714285714285714,8
comb,A,AP,10-G1,0.8571428571428571,12
MAG,C,AP,10-G1,0.125,2
OA,C,AP,10-G1,0.1875,3
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.125,2
MAG,A,AP,10-G1,0.9166666666666666,11
OA,A,AP,10-G1,0.16666666666666666,2
CR,A,AP,10-G1,0.16666666666666666,2
comb,A,AP,10-G1,0.9166666666666666,11
MAG,A,AP,10-G1,1.0,13
OA,A,AP,10-G1,0.8461538461538461,11
CR,A,AP,10-G1,0.6153846153846154,8
comb,A,AP,10-G1,1.0,13
MAG,C,AP,10-G1,0.16666666666666666,2
OA,C,AP,10-G1,0.5,6
CR,C,AP,10-G1,0.08333333333333333,1
comb,C,AP,10-G1,0.25,3
MAG,A,AP,10-G1,0.8846153846153846,23
OA,A,AP,10-G1,0.8076923076923077,21
CR,A,AP,10-G1,0.6153846153846154,16
comb,A,AP,10-G1,0.9230769230769231,24
MAG,A,AP,10-G1,0.75,12
OA,A,AP,10-G1,0.1875,3
CR,A,AP,10-G1,0.1875,3
comb,A,AP,10-G1,0.75,12
MAG,B,AP,10-G1,0.5652173913043478,13
OA,B,AP,10-G1,0.4782608695652174,11
CR,B,AP,10-G1,0.0,0
comb,B,AP,10-G1,0.6086956521739131,14
MAG,C,AP,10-G1,0.0,0
OA,C,AP,10-G1,0.0,0
CR,C,AP,10-G1,0.0,0
comb,C,AP,10-G1,0.0,0
MAG,C,AP,10-G1,0.14814814814814814,4
OA,C,AP,10-G1,0.14814814814814814,4
CR,C,AP,10-G1,0.14814814814814814,4
comb,C,AP,10-G1,0.2962962962962963,8
MAG,A,AP,10-G1,0.9166666666666666,22
OA,A,AP,10-G1,0.9583333333333334,23
CR,A,AP,10-G1,0.5833333333333334,14
comb,A,AP,10-G1,0.9166666666666666,22
MAG,A,AP,13-D4,0.7727272727272727,17
OA,A,AP,13-D4,0.8181818181818182,18
CR,A,AP,13-D4,0.7727272727272727,17
comb,A,AP,13-D4,0.8636363636363636,19
MAG,A,AP,13-D4,0.7,7
OA,A,AP,13-D4,0.7,7
CR,A,AP,13-D4,0.7,7
comb,A,AP,13-D4,0.9,9
MAG,A,AP,13-D4,0.8,12
OA,A,AP,13-D4,0.8666666666666667,13
CR,A,AP,13-D4,0.9333333333333333,14
comb,A,AP,13-D4,1.0,15
MAG,A,AP,13-D4,1.0,10
OA,A,AP,13-D4,1.0,10
CR,A,AP,13-D4,1.0,10
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,0.6923076923076923,9
OA,A,AP,13-D4,0.8461538461538461,11
CR,A,AP,13-D4,0.5384615384615384,7
comb,A,AP,13-D4,0.6923076923076923,9
MAG,A,AP,13-D4,0.84,21
OA,A,AP,13-D4,0.64,16
CR,A,AP,13-D4,0.6,15
comb,A,AP,13-D4,0.92,23
MAG,A,AP,13-D4,1.0,10
OA,A,AP,13-D4,0.8,8
CR,A,AP,13-D4,0.8,8
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,0.9333333333333333,14
OA,A,AP,13-D4,1.0,15
CR,A,AP,13-D4,0.7333333333333333,11
comb,A,AP,13-D4,0.9333333333333333,14
MAG,A,AP,13-D4,1.0,17
OA,A,AP,13-D4,1.0,17
CR,A,AP,13-D4,1.0,17
comb,A,AP,13-D4,1.0,17
MAG,A,AP,13-D4,1.0,9
OA,A,AP,13-D4,1.0,9
CR,A,AP,13-D4,1.0,9
comb,A,AP,13-D4,1.0,9
MAG,A,AP,13-D4,1.0,11
OA,A,AP,13-D4,0.7272727272727273,8
CR,A,AP,13-D4,0.6363636363636364,7
comb,A,AP,13-D4,1.0,11
MAG,A,AP,13-D4,0.9230769230769231,12
OA,A,AP,13-D4,0.9230769230769231,12
CR,A,AP,13-D4,0.6923076923076923,9
comb,A,AP,13-D4,1.0,13
MAG,A,AP,13-D4,1.0,12
OA,A,AP,13-D4,1.0,12
CR,A,AP,13-D4,1.0,12
comb,A,AP,13-D4,1.0,12
MAG,A,AP,13-D4,1.0,8
OA,A,AP,13-D4,1.0,8
CR,A,AP,13-D4,1.0,8
comb,A,AP,13-D4,1.0,8
MAG,A,AP,13-D4,0.8333333333333334,10
OA,A,AP,13-D4,0.9166666666666666,11
CR,A,AP,13-D4,0.75,9
comb,A,AP,13-D4,0.9166666666666666,11
MAG,B,AP,13-D4,0.5348837209302325,23
OA,B,AP,13-D4,0.6976744186046512,30
CR,B,AP,13-D4,0.5348837209302325,23
comb,B,AP,13-D4,0.627906976744186,27
MAG,A,AP,13-D4,0.9,9
OA,A,AP,13-D4,1.0,10
CR,A,AP,13-D4,1.0,10
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,1.0,10
OA,A,AP,13-D4,1.0,10
CR,A,AP,13-D4,1.0,10
comb,A,AP,13-D4,1.0,10
MAG,A,AP,13-D4,1.0,11
OA,A,AP,13-D4,0.8181818181818182,9
CR,A,AP,13-D4,0.9090909090909091,10
comb,A,AP,13-D4,1.0,11
MAG,A,AP,13-D4,0.9285714285714286,13
OA,A,AP,13-D4,1.0,14
CR,A,AP,13-D4,0.9285714285714286,13
comb,A,AP,13-D4,1.0,14
MAG,A,AP,13-D4,1.0,15
OA,A,AP,13-D4,1.0,15
CR,A,AP,13-D4,1.0,15
comb,A,AP,13-D4,1.0,15
MAG,A,AP,13-D4,1.0,16
OA,A,AP,13-D4,0.9375,15
CR,A,AP,13-D4,0.8125,13
comb,A,AP,13-D4,1.0,16
MAG,A,AP,13-D4,0.9333333333333333,14
OA,A,AP,13-D4,0.9333333333333333,14
CR,A,AP,13-D4,0.9333333333333333,14
comb,A,AP,13-D4,1.0,15
MAG,A,AP,13-D4,0.9545454545454546,21
OA,A,AP,13-D4,0.8181818181818182,18
CR,A,AP,13-D4,0.8181818181818182,18
comb,A,AP,13-D4,0.9545454545454546,21
MAG,A,AP,13-D4,0.9230769230769231,12
OA,A,AP,13-D4,0.7692307692307693,10
CR,A,AP,13-D4,0.46153846153846156,6
comb,A,AP,13-D4,0.9230769230769231,12
MAG,A,AP,13-D4,0.7692307692307693,20
